,Zipcode,labels
0,10001,1
1,10002,1
2,10003,1
3,10004,2
4,10005,2
5,10006,2
6,10007,2
7,10009,0
8,10010,0
9,10011,0
10,10012,0
11,10013,0
12,10014,0
13,10016,0
14,10017,2
15,10018,0
16,10019,1
17,10020,2
18,10021,2
19,10022,0
20,10023,0
21,10024,2
22,10025,0
23,10026,0
24,10027,1
25,10028,2
26,10029,1
27,10030,0
28,10031,0
29,10032,0
30,10033,0
31,10034,0
32,10035,1
33,10036,1
34,10037,2
35,10038,2
36,10039,0
37,10040,2
38,10044,2
39,10065,2
40,10069,2
41,10075,2
43,10112,2
45,10128,2
46,10280,2
47,10282,2
48,10301,0
49,10302,2
50,10303,0
51,10304,0
52,10305,2
53,10306,0
54,10307,2
55,10308,2
56,10309,2
57,10310,2
58,10312,2
59,10314,0
60,10451,1
61,10452,1
62,10453,1
63,10454,1
64,10455,1
65,10456,1
66,10457,1
67,10458,1
68,10459,1
69,10460,1
70,10461,0
71,10462,0
72,10463,0
73,10464,2
74,10465,0
75,10466,1
76,10467,1
77,10468,1
78,10469,0
79,10470,2
80,10471,2
81,10472,1
82,10473,1
83,10474,2
84,10475,0
85,11001,2
86,11004,2
87,11005,2
88,11040,2
90,11101,0
91,11102,2
92,11103,0
93,11104,2
94,11105,2
95,11106,2
96,11109,2
97,11201,1
98,11203,1
99,11204,2
100,11205,0
101,11206,1
102,11207,1
103,11208,1
104,11209,0
105,11210,0
106,11211,0
107,11212,1
108,11213,1
109,11214,0
110,11215,0
111,11216,0
112,11217,0
113,11218,2
114,11219,0
115,11220,0
116,11221,1
117,11222,2
118,11223,0
119,11224,0
120,11225,0
121,11226,1
122,11228,2
123,11229,0
124,11230,0
125,11231,2
126,11232,2
127,11233,1
128,11234,0
129,11235,0
130,11236,1
131,11237,0
132,11238,0
133,11239,2
134,11354,0
135,11355,0
136,11356,2
137,11357,2
138,11358,2
140,11360,2
141,11361,2
142,11362,2
143,11363,2
144,11364,2
145,11365,2
146,11366,2
147,11367,2
148,11368,0
149,11369,2
150,11370,0
151,11371,2
152,11372,0
153,11373,0
154,11374,2
155,11375,2
156,11377,0
157,11378,2
158,11379,2
159,11385,0
160,11411,2
161,11412,2
162,11413,0
163,11414,2
164,11415,2
165,11416,2
166,11417,2
167,11418,2
168,11419,2
169,11420,0
170,11421,2
171,11422,2
172,11423,2
173,11426,2
174,11427,2
175,11428,2
176,11429,2
177,11430,2
178,11432,0
179,11433,0
180,11434,1
181,11435,0
182,11436,2
183,11691,0
184,11692,2
185,11693,2
186,11694,2
187,11697,2
